areaCode,areaName,areaType,date,cumCasesByPublishDate,cumDailyNsoDeathsByDeathDate
K02000001,United Kingdom,overview,2021-09-01,6825074,
K02000001,United Kingdom,overview,2021-08-31,6789581,
K02000001,United Kingdom,overview,2021-08-30,6757650,
K02000001,United Kingdom,overview,2021-08-29,6731423,
K02000001,United Kingdom,overview,2021-08-28,6698486,
K02000001,United Kingdom,overview,2021-08-27,6666399,
K02000001,United Kingdom,overview,2021-08-26,6628709,
K02000001,United Kingdom,overview,2021-08-25,6590747,
K02000001,United Kingdom,overview,2021-08-24,6555200,
K02000001,United Kingdom,overview,2021-08-23,6524581,
K02000001,United Kingdom,overview,2021-08-22,6492906,
K02000001,United Kingdom,overview,2021-08-21,6460930,
K02000001,United Kingdom,overview,2021-08-20,6429147,157648
K02000001,United Kingdom,overview,2021-08-19,6392160,157593
K02000001,United Kingdom,overview,2021-08-18,6355887,157525
K02000001,United Kingdom,overview,2021-08-17,6322241,157452
K02000001,United Kingdom,overview,2021-08-16,6295613,157374
K02000001,United Kingdom,overview,2021-08-15,6267437,157301
K02000001,United Kingdom,overview,2021-08-14,6241011,157221
K02000001,United Kingdom,overview,2021-08-13,6211868,157123
K02000001,United Kingdom,overview,2021-08-12,6179506,157033
K02000001,United Kingdom,overview,2021-08-11,6146800,156940
K02000001,United Kingdom,overview,2021-08-10,6117540,156861
K02000001,United Kingdom,overview,2021-08-09,6094243,156785
K02000001,United Kingdom,overview,2021-08-08,6069362,156704
K02000001,United Kingdom,overview,2021-08-07,6042252,156624
K02000001,United Kingdom,overview,2021-08-06,6014023,156522
K02000001,United Kingdom,overview,2021-08-05,5982581,156433
K02000001,United Kingdom,overview,2021-08-04,5952756,156338
K02000001,United Kingdom,overview,2021-08-03,5923820,156248
K02000001,United Kingdom,overview,2021-08-02,5902354,156172
K02000001,United Kingdom,overview,2021-08-01,5880667,156085
K02000001,United Kingdom,overview,2021-07-31,5856528,155990
K02000001,United Kingdom,overview,2021-07-30,5830774,155904
K02000001,United Kingdom,overview,2021-07-29,5801561,155808
K02000001,United Kingdom,overview,2021-07-28,5770928,155724
K02000001,United Kingdom,overview,2021-07-27,5745526,155645
K02000001,United Kingdom,overview,2021-07-26,5722298,155571
K02000001,United Kingdom,overview,2021-07-25,5697912,155496
K02000001,United Kingdom,overview,2021-07-24,5669260,155428
